iter	Passed	Remaining
194	122109	504094
195	122444	502272
196	123060	501610
197	123732	501179
198	124328	500439
199	124682	498731
200	124996	496875
201	125047	494001
202	125220	491630
203	125645	490265
204	125952	488449
205	126536	487717
206	126781	485688
207	127809	486661
208	128361	485809
209	128982	485221
210	129528	484351
211	129805	482484
212	130226	481165
213	130479	479238
214	131026	478398
215	131379	476857
216	131981	476228
217	132713	476062
218	133080	474591
219	133443	473118
220	133683	471218
221	134066	469835
222	135027	470477
223	135965	471024
224	136048	468610
225	136445	467296
226	136927	466278
227	138140	467738
228	138613	466685
229	138981	465286
230	139415	464114
231	139876	463040
232	140865	463708
233	141665	463741
234	142116	462633
235	142700	461963
236	143338	461463
237	144107	461385
238	144832	461161
239	145881	461957
240	146465	461276
241	147228	461152
242	148020	461117
243	149059	461838
244	149336	460199
245	149755	459008
246	149941	457109
247	150303	455759
248	150951	455280
249	151964	455892
250	152518	455124
251	153041	454267
252	153784	454059
253	154216	452934
254	154656	451840
255	155878	453021
256	157047	454030
257	157799	453826
258	158367	453089
259	158547	451249
260	159118	450530
261	159715	449886
262	160435	449584
263	160771	448211
264	161160	446992
265	161430	445450
266	161681	443868
267	162065	442656
268	162484	441546
269	163234	441336
270	163822	440687
271	164672	440742
272	164877	439070
273	165356	438134
274	166045	437755
275	166783	437505
276	167605	437467
277	168450	437487
278	169279	437457
279	169598	436111
280	170006	434998
281	170391	433833
282	171112	433524
283	172483	434852
284	172936	433858
285	173235	432481
286	174152	432651
287	175062	432794
288	175517	431809
289	176018	430942
290	177122	431545
291	177256	429785
292	177973	429444
293	178736	429211
294	179403	428744
295	179883	427830
296	180297	426763
297	181227	426917
298	181594	425744
299	182130	424970
300	182656	424175
301	184155	425631
302	184750	424986
303	185101	423784
304	185486	422666
305	185815	421424
306	186005	419875
307	186185	418312
308	186938	418041
309	187983	418414
310	188483	417573
311	189194	417198
312	190039	417114
313	191523	418423
314	191907	417322
315	192334	416318
316	192743	415280
317	193289	414538
318	193895	413927
319	194613	413553
320	195201	412902
321	195807	412291
322	196840	412573
323	197310	411671
324	197579	410356
325	198009	409381
326	198451	408433
327	199161	408037
328	200121	408149
329	200792	407669
330	200946	406142
331	201559	405546
332	202296	405199
333	202947	404680
334	203466	403896
335	204639	404407
336	205352	404003
337	205816	403107
338	206206	402071
339	206899	401628
340	207494	400992
341	208130	400437
342	208860	400061
343	209172	398887
344	209609	397954
345	209955	396852
346	210653	396416
347	211210	395716
348	211711	394911
349	212529	394697
350	213392	394563
351	214034	394017
352	214840	393772
353	216195	394526
354	216659	393649
355	217358	393198
356	218239	393074
357	218782	392342
358	219578	392061
359	219769	390701
360	220528	390353
361	221106	389684
362	221862	389328
363	222567	388882
364	222878	387746
365	223505	387164
366	223664	385776
367	224143	384942
368	225143	385002
369	225196	383441
370	225935	383055
371	226605	382548
372	226777	381205
373	227417	380649
374	228258	380430
375	228852	379798
376	229372	379043
377	230113	378652
378	230483	377652
379	230617	376270
380	230844	375047
381	231880	375136
382	232307	374240
383	233119	373962
384	233354	372761
385	233661	371678
386	233810	370350
387	234632	370090
388	235637	370114
389	236091	369271
390	236510	368375
391	236871	367393
392	237259	366454
393	237730	365646
394	238708	365616
395	239223	364876
396	239893	364371
397	240682	364047
398	240861	362800
399	241411	362117
400	241819	361221
401	241986	359969
402	242741	359594
403	243013	358505
404	243852	358251
405	244409	357585
406	245032	357013
407	245311	355941
408	246151	355686
409	246670	354965
410	246838	353741
411	247376	353052
412	248006	352493
413	248480	351713
414	248788	350701
415	249742	350599
416	250739	350554
417	250999	349477
418	251640	348933
419	252225	348311
420	252597	347395
421	252756	346192
422	253115	345266
423	253426	344276
424	253652	343176
425	253821	342003
426	254079	340954
427	254523	340157
428	254874	339239
429	255317	338444
430	255520	337334
431	256086	336706
432	256308	335628
433	256563	334596
434	257284	334174
435	257532	333137
436	257664	331957
437	258366	331511
438	258766	330678
439	259526	330305
440	259879	329416
441	260564	328947
442	261193	328408
443	261459	327412
444	262171	326978
445	262403	325945
446	262916	325263
447	263275	324393
448	263732	323645
449	263943	322597
450	264126	321519
451	264410	320569
452	265023	320017
453	265301	319063
454	266290	318962
455	267163	318720
456	268181	318648
457	269469	318891
458	269830	318035
459	270138	317119
460	270786	316602
461	271151	315756
462	271712	315139
463	272680	314993
464	273573	314756
465	274294	314320
466	274789	313624
467	275085	312704
468	275739	312190
469	275775	310981
470	275851	309820
471	276776	309614
472	277429	309101
473	278189	308708
474	278892	308249
475	279439	307618
476	279777	306757
477	280211	306005
478	280617	305222
479	281421	304873
480	281791	304053
481	282275	303358
482	282420	302300
483	282866	301568
484	283904	301465
485	284849	301260
486	286077	301350
487	286207	300283
488	287125	300042
489	287646	299386
490	288123	298686
491	288799	298191
492	289300	297515
493	290037	297083
494	290654	296526
495	291284	295982
496	291924	295448
497	292180	294526
498	292415	293587
499	292474	292474
500	293121	291951
501	293543	291204
502	294813	291296
503	295473	290783
504	295795	289937
505	296181	289157
506	296978	288778
507	297841	288460
508	298981	288408
509	299328	287589
510	299889	286978
511	300408	286326
512	301075	285816
513	301633	285202
514	302141	284540
515	302481	283722
516	303419	283465
517	304333	283182
518	304584	282283
519	305184	281708
520	305477	280851
521	306008	280215
522	306690	279716
523	307328	279176
524	307724	278417
525	308367	277882
526	309110	277436
527	309544	276714
528	309951	275968
529	310105	274999
530	311045	274727
531	311717	274217
532	312271	273603
533	312538	272739
534	313247	272261
535	313680	271543
536	314007	270736
537	314178	269796
538	314554	269034
539	315131	268445
540	315615	267777
541	316072	267086
542	316734	266570
543	317306	265977
544	317536	265099
545	317796	264248
546	318374	263662
547	319252	263324
548	320547	263327
549	321922	263390
550	322766	263016
551	323616	262645
552	324353	262180
553	324613	261331
554	325284	260813
555	325414	259863
556	325646	258997
557	326096	258305
558	326609	257665
559	326734	256720
560	326936	255838
561	327144	254962
562	327789	254429
563	328453	253910
564	328727	253091
565	329492	252649
566	329953	251975
567	330376	251272
568	330853	250611
569	331173	249832
570	332027	249456
571	332448	248754
572	333435	248476
573	333573	247565
574	334118	246956
575	334554	246269
576	335489	245948
577	336143	245419
578	336837	244920
579	337448	244359
580	338207	243904
581	338415	243054
582	339059	242517
583	339578	241891
584	340716	241704
585	341549	241299
586	342272	240814
587	343153	240440
588	343494	239688
589	344407	239334
590	345215	238905
591	346011	238467
592	346570	237865
593	346924	237123
594	348303	237080
595	348682	236355
596	348894	235518
597	349593	235010
598	349864	234216
599	350121	233414
600	350665	232804
601	351329	232274
602	352089	231806
603	352588	231167
604	353334	230689
605	353461	229808
606	353731	229022
607	354319	228442
608	354914	227867
609	355331	227178
610	356307	226846
611	357257	226496
612	357454	225668
613	358200	225187
614	358493	224422
615	359091	223849
616	359518	223169
617	360132	222606
618	360395	221826
619	360951	221228
620	361310	220509
621	361862	219910
622	362329	219258
623	362804	218612
624	363199	217919
625	363794	217346
626	364095	216599
627	364694	216029
628	364829	215185
629	365109	214429
630	365698	213855
631	366480	213393
632	366531	212507
633	366801	211749
634	367509	211245
635	367793	210497
636	368116	209774
637	368614	209151
638	369746	208886
639	370008	208130
640	370348	207418
641	370552	206631
642	370908	205932
643	371251	205225
644	371698	204578
645	372188	203954
646	372651	203316
647	372968	202600
648	373409	201951
649	374818	201825
650	375450	201278
651	376143	200763
652	376973	200321
653	377460	199696
654	377820	199004
655	378155	198301
656	378642	197678
657	379037	197007
658	379733	196493
659	379846	195678
660	380345	195063
661	380834	194444
662	381332	193829
663	381767	193183
664	382306	192590
665	382839	191994
666	383451	191438
667	383884	190793
668	384793	190383
669	385371	189809
670	386439	189476
671	386785	188788
672	387313	188189
673	387968	187652
674	388851	187224
675	389793	186824
676	390680	186395
677	391171	185777
678	391409	185040
679	391860	184404
680	392560	183886
681	392964	183229
682	393496	182633
683	393740	181903
684	394133	181243
685	394615	180625
686	395427	180158
687	396286	179711
688	396788	179101
689	397222	178462
690	397752	177866
691	398412	177327
692	398985	176751
693	399392	176101
694	400056	175564
695	400861	175089
696	401531	174553
697	402262	174044
698	403041	173555
699	403662	172998
700	404492	172529
701	405222	172017
702	405448	171292
703	405751	170599
704	406029	169898
705	406256	169177
706	406313	168387
707	406564	167679
708	406823	166975
709	407110	166284
710	407239	165530
711	407475	164821
712	407611	164073
713	407974	163418
714	408194	162707
715	408413	161996
716	408469	161223
717	409141	160693
718	409201	159924
719	409327	159183
720	409616	158506
721	409756	157773
722	409876	157034
723	410023	156307
724	410211	155597
725	410352	154871
726	410621	154195
727	410955	153543
728	411091	152820
729	411224	152096
730	411355	151374
731	411479	150650
732	411691	149961
733	411852	149254
734	411948	148525
735	412171	147844
736	412358	147151
737	412418	146414
738	412589	145718
739	412699	145002
740	412742	144264
741	412922	143576
742	412977	142847
743	413086	142137
744	413306	141467
745	413481	140783
746	413522	140055
747	413614	139345
748	413757	138655
749	413822	137940
750	413922	137239
751	413963	136519
752	413997	135800
753	414097	135103
754	414143	134390
755	414242	133697
756	414392	133021
757	414547	132348
758	414701	131677
759	414725	130965
760	414857	130290
761	415034	129630
762	415201	128968
763	415298	128286
764	415409	127609
765	415455	126914
766	415473	126212
767	415559	125533
768	415596	124841
769	415667	124160
770	415827	123507
771	415911	122833
772	415935	122144
773	416063	121486
774	416127	120811
775	416179	120134
776	416303	119479
777	416435	118828
778	416497	118159
779	416541	117486
780	416605	116820
781	416673	116157
782	416762	115501
783	416888	114856
784	416935	114192
785	417004	113535
786	417074	112880
787	417124	112221
788	417281	111592
789	417374	110947
790	417408	110288
791	417496	109645
792	417644	109019
793	417747	108382
794	417790	107732
795	417853	107088
796	417931	106449
797	417982	105805
798	418138	105188
799	418190	104547
800	418293	103920
801	418395	103294
802	418500	102670
803	418606	102048
804	418651	101412
805	418774	100796
806	418848	100170
807	418907	99542
808	418978	98918
809	419064	98299
810	419138	97678
811	419209	97058
812	419230	96428
813	419329	95817
814	419372	95194
815	419484	94589
816	419517	93967
817	419563	93350
818	419608	92734
819	419673	92123
820	419726	91511
821	419762	90897
822	419858	90297
823	419910	89689
824	419994	89089
825	420009	88476
826	420051	87870
827	420101	87267
828	420132	86661
829	420170	86059
830	420235	85462
831	420300	84868
832	420414	84284
833	420515	83699
834	420638	83120
835	420681	82526
836	420736	81935
837	420785	81345
838	420797	80749
839	420854	80162
840	420892	79574
841	420933	78987
842	420970	78401
843	421059	77826
844	421088	77241
845	421164	76665
846	421296	76102
847	421493	75550
848	421533	74972
849	421655	74409
850	421735	73840
851	421792	73269
852	421839	72696
853	421910	72129
854	422037	71573
855	422069	71002
856	422200	70448
857	422285	69888
858	422371	69329
859	422382	68759
860	422397	68191
861	422465	67633
862	422523	67074
863	422588	66518
864	422679	65967
865	422728	65410
866	422889	64872
867	422957	64320
868	423067	63776
869	423148	63229
870	423176	62674
871	423343	62142
872	423539	61614
873	423556	61061
874	423617	60516
875	423672	59971
876	423741	59430
877	423766	58883
878	423776	58335
879	423856	57798
880	423947	57264
881	424082	56736
882	424126	56197
883	424187	55662
884	424210	55123
885	424288	54592
886	424319	54056
887	424341	53520
888	424368	52986
889	424385	52452
890	424441	51923
891	424490	51395
892	424518	50866
893	424573	50340
894	424595	49812
895	424632	49287
896	424672	48763
897	424705	48240
898	424720	47716
899	424787	47198
900	424851	46681
901	424937	46168
902	424963	45649
903	424989	45131
904	425039	44617
905	425056	44100
906	425097	43587
907	425112	43073
908	425153	42562
909	425188	42051
910	425203	41540
911	425216	41029
912	425237	40521
913	425291	40016
914	425336	39512
915	425396	39010
916	425416	38505
917	425446	38002
918	425457	37499
919	425473	36997
920	425505	36498
921	425545	36000
922	425610	35506
923	425620	35007
924	425629	34510
925	425638	34014
926	425653	33519
927	425663	33025
928	425676	32532
929	425686	32040
930	425696	31549
931	425704	31059
932	425719	30571
933	425736	30084
934	425748	29597
935	425768	29112
936	425786	28628
937	425795	28144
938	425809	27661
939	425820	27180
940	425831	26699
941	425840	26219
942	425855	25741
943	425874	25263
944	425899	24787
945	425921	24312
946	425934	23837
947	425947	23364
948	425966	22891
949	425983	22420
950	425997	21949
951	426021	21480
952	426059	21012
953	426072	20544
954	426081	20077
955	426097	19611
956	426141	19147
957	426163	18683
958	426193	18220
959	426203	17758
960	426226	17297
961	426240	16836
962	426287	16378
963	426296	15919
964	426313	15462
965	426330	15005
966	426338	14549
967	426346	14094
968	426357	13639
969	426368	13186
970	426379	12734
971	426391	12282
972	426402	11832
973	426414	11382
974	426426	10934
975	426438	10486
976	426450	10039
977	426462	9593
978	426474	9148
979	426486	8703
980	426499	8260
981	426511	7817
982	426523	7376
983	426535	6935
984	426547	6495
985	426560	6056
986	426572	5618
987	426584	5181
988	426595	4744
989	426607	4309
990	426619	3874
991	426631	3440
992	426644	3007
993	426656	2575
994	426669	2144
995	426681	1713
996	426692	1283
9	417738	0
5470	435
999	435479	0
78	0
