iter	Logloss
0	0.6394996944
1	0.5869150968
2	0.5460745263
3	0.5054034775
4	0.4697809614
5	0.4391562981
6	0.4122957841
7	0.3891432131
8	0.3685645779
9	0.3510804966
10	0.3381725437
11	0.3235309374
12	0.3116572146
13	0.3013640386
14	0.2923008827
15	0.2842795584
16	0.2768104932
17	0.2703771342
18	0.265026023
19	0.2608438088
20	0.2558279254
21	0.2514816524
22	0.2481444331
23	0.2459222974
24	0.2424530859
25	0.2400088043
26	0.2379454422
27	0.2357690341
28	0.2340042281
29	0.2321847247
30	0.2307087638
31	0.2293997281
32	0.2279316295
33	0.2268364177
34	0.2256971885
35	0.22447955
36	0.2228663327
37	0.222038448
38	0.2210866106
39	0.2199764636
40	0.2187556843
41	0.2180668759
42	0.21742379
43	0.2166572407
44	0.2158789373
45	0.215259642
46	0.2144806798
47	0.2135854289
48	0.2128030585
49	0.2123835654
50	0.211575573
51	51	0.3332012752	52	0.3324755602
53	0.3314377188
54	0.330709627
55	0.3299805842
56	0.3293563508
57	0.328591419
58	0.3277164902
59	0.3270996174
60	0.3264806602
61	0.3259823839
62	0.325563743
63	0.3250801495
64	0.3245479501
65	0.3236633683
66	0.3230962841
67	0.3226846935
68	0.3219717173
69	0.3215005232
70	0.3210998973
71	0.3204898052
72	0.3200141907
73	0.3196133167
74	0.319280515
75	0.3189374128
76	0.3185979289
77	0.3181386444
78	0.3177306685
79	0.3172403512
80	0.3169380875
81	0.3163913599
82	0.3161116789
83	0.3156985248
84	0.3153437378
85	0.3148716336
86	0.3144646742
87	0.3141194395
88	0.3138027528
89	0.3133431214
90	0.3127846302
91	0.3122322687
92	0.3118275197
93	0.3116186271
94	0.31120778
95	0.310848945
96	0.310539183
97	0.3102042418
98	0.3097634388
99	0.3094947644
100	0.3090391045
101	0.3088014333
102	0.3084387516
103	0.3081332908
104	0.3078250955
105	0.3075039372
106	0.3071480429
107	0.3068450938
108	0.306382361
109	0.3060971124
110	0.3057564464
111	0.3053855125
112	0.3049385792
113	0.3046874061
114	0.3043311054
115	0.3038743004
116	0.303455663
117	0.3030768607
118	0.3027699176
119	0.3023461868
120	0.3016644914
121	0.3014269236
122	0.3011902488
123	0.3009645635
124	0.3007709259
125	0.3005474473
126	0.3002885669
127	0.3001817701
128	0.2998891041
129	0.2993511584
130	0.2991323533
131	0.2989728041
132	0.298696245
133	0.2983875068
134	0.2981398242
135	0.297921922
136	0.2976731823
137	0.29739826
138	0.2970807329
139	0.296825396
140	0.2965685041
141	0.2962546756
142	0.2959700925
143	0.2956112044
144	0.2954138682
145	0.2951905806
146	0.2949359248
147	0.2947689725
148	0.2945340865
149	0.2943027795
150	0.293958511
151	0.2937356515
152	0.2936287525
153	0.293392152
154	0.2931917343
155	0.29293407
156	0.2925735968
157	0.2923778124
158	0.2921491576
159	0.2918501909
160	0.2916593882
161	0.2914267473
162	0.2912612529
163	0.2910494478
164	0.2906663636
165	0.2903716282
166	0.2901131462
167	0.2899068672
168	0.2895719545
169	0.2892602332
170	0.2890410345
171	0.2887673542
172	0.2886324669
173	0.2884222871
174	0.2881918874
175	0.2879021257
176	0.2875873422
177	0.2873884896
178	0.2872365988
179	0.2869280957
180	0.2867156371
181	0.286417668
182	0.2860809338
183	0.2855677852
184	0.2852399572
185	0.2849826504
186	0.2847096094
187	0.2844118946
188	0.2841886479
189	0.2839071315
190	0.2835711404
191	0.2832710536
192	0.2830030079
193	0.2824171232
194	0.2821171172
195	0.2817136132
196	0.2815817197
197	0.2813123758
198	0.2809585041
199	0.2805730844
200	0.2802648627
201	0.2800019413
202	0.2798273738
203	0.2794103691
204	0.2792521262
205	0.2789550024
206	0.2786576434
207	0.2783373803
208	0.2780550184
209	0.2777669289
210	0.2776382542
211	0.2773290078
212	0.2772901191
213	0.2772528712
214	0.2769539693
215	0.2769209534
216	0.2766708361
217	0.2765085604
218	0.2764655295
219	0.276432319
220	0.2760605067
221	0.2760269249
222	0.2759964927
223	0.2757111132
224	0.275387936
225	0.2751332707
226	0.2748251245
227	0.2743949083
228	0.2741355936
229	0.2737204572
230	0.2736913514
231	0.2735056655
232	0.2732431199
233	0.2732136452
234	0.2728759949
235	0.2725705258
236	0.2722752861
237	0.2720359366
238	0.2717253462
239	0.2714971229
240	0.2712205461
241	0.271045036
242	0.2708007902
243	0.2707725857
244	0.2705490344
245	0.2703066291
246	0.2700138434
247	0.2696405863
248	0.2693678485
249	0.2691448209
250	0.2687915651
251	0.2685280399
252	0.268226657
253	0.2680380311
254	0.2676383077
255	0.2674490746
256	0.2671529991
257	0.2669694971
258	0.2667001244
259	0.266449714
260	0.2661076049
261	0.2657479361
262	0.2657224767
263	0.2654585825
264	0.2650913199
265	0.2648285719
266	0.2645826656
267	0.2643561373
268	0.2641052547
269	0.2639424293
270	0.2636368409
271	0.2632787241
272	0.2630180954
273	0.2627973703
274	0.2627724406
275	0.2624843418
276	0.2622443246
277	0.2620184192
278	0.2617424404
279	0.261572425
280	0.2613053489
281	0.2609169083
282	0.2608930378
283	0.2606798327
284	0.2604800175
285	0.2602325573
286	0.2599637853
287	0.2597785892
288	0.2595585456
289	0.259327424
290	0.2591493757
291	0.258955662
292	0.258705715
293	0.2584469268
294	0.2581705862
295	0.2579314658
296	0.257649303
297	0.2574417416
298	0.2572389985
299	0.2570435193
300	0.2569109684
301	0.2567097283
302	0.2565405723
303	0.2563384559
304	0.2560813806
305	0.2558846602
306	0.2556432832
307	0.2554443509
308	0.2551764849
309	0.2548603061
310	0.2546729655
311	0.2545275029
312	0.2543098215
313	0.2540690973
314	0.2538832075
315	0.2537294433
316	0.2534853486
317	0.2532986237
318	0.2529498459
319	0.2527514958
320	0.2527301226
321	0.252526476
322	0.2523507218
323	0.252165694
324	0.2519511229
325	0.2517052216
326	0.2514242587
327	0.2510845872
328	0.2509250611
329	0.2509047691
330	0.2506407336
331	0.2503836528
332	0.2502011134
333	0.2499256092
334	0.2498006515
335	0.249557489
336	0.2492663064
337	0.2489636172
338	0.2487536304
339	0.248534102
340	0.2483066594
341	0.2480174688
342	0.2478558379
343	0.2477040128
344	0.2474608638
345	0.2473001191
346	0.2470170301
347	0.2468134664
348	0.246793973
349	0.2466518762
